sample_name,Target,0,1,2,3,4,5,6,7,8,9,cas9_score,nick_to_pegRNA,dPAM,PE3b,RTT_GC,RTT_length,PBS_GC,PBS_length,N_subsitution,N_deletion,N_insertions,Target_pos,Target_end_flank
FIG3B_HEK3_+63,33.8312104,0.789725,0.269945,0.263465,0.0875384,0.0859875,0.0494757,0.346241,0.441531,0.486082,0.523403,63.265,63,0,0,0.5,10,0.615384615,13,1,0,0,2,8
FIG3B_HEK3_+90,46.80950173,0.789725,0.269945,0.263465,0.0875384,0.0859875,0.0494757,0.346241,0.441531,0.486082,0.523403,63.265,90,0,0,0.5,10,0.615384615,13,1,0,0,2,8
FIG3B_HEK3_-108,25.76990077,0.789725,0.269945,0.263465,0.0875384,0.0859875,0.0494757,0.346241,0.441531,0.486082,0.523403,63.265,-108,0,0,0.5,10,0.615384615,13,1,0,0,2,8
FIG3B_HEK3_-38,30.92029817,0.789725,0.269945,0.263465,0.0875384,0.0859875,0.0494757,0.346241,0.441531,0.486082,0.523403,63.265,-38,0,0,0.5,10,0.615384615,13,1,0,0,2,8
FIG3B_HEK3_NONE,24.55821147,0.789725,0.269945,0.263465,0.0875384,0.0859875,0.0494757,0.346241,0.441531,0.486082,0.523403,63.265,,0,0,0.5,10,0.615384615,13,1,0,0,2,8
FIG3B_HEK4_+52,21.71587793,0.81044,0.0608795,0.0717806,0.146022,0.171623,0,0.0147778,0.0110007,0.0395002,0.052118,54.311,52,0,0,0.4,10,0.777777778,9,1,0,0,2,8
FIG3B_HEK4_+74,25.90680763,0.81044,0.0608795,0.0717806,0.146022,0.171623,0,0.0147778,0.0110007,0.0395002,0.052118,54.311,74,0,0,0.4,10,0.777777778,9,1,0,0,2,8
FIG3B_HEK4_-26,21.0766664,0.81044,0.0608795,0.0717806,0.146022,0.171623,0,0.0147778,0.0110007,0.0395002,0.052118,54.311,-26,0,0,0.4,10,0.777777778,9,1,0,0,2,8
FIG3B_HEK4_-52,14.4162227,0.81044,0.0608795,0.0717806,0.146022,0.171623,0,0.0147778,0.0110007,0.0395002,0.052118,54.311,-52,0,0,0.4,10,0.777777778,9,1,0,0,2,8
FIG3B_HEK4_-95,16.05801773,0.81044,0.0608795,0.0717806,0.146022,0.171623,0,0.0147778,0.0110007,0.0395002,0.052118,54.311,-95,0,0,0.4,10,0.777777778,9,1,0,0,2,8
